2.020E+06 	2.038E+06 	2.015E+06 	2.020E+06 	2.029E+06 	2.025E+06 	2.016E+06 	2.020E+06 	2.020E+06 	2.012E+06 	1.997E+06 	1.996E+06 	2.007E+06 	
2.019E+06 	2.033E+06 	2.013E+06 	2.010E+06 	2.033E+06 	2.021E+06 	2.014E+06 	2.025E+06 	2.016E+06 	2.010E+06 	2.003E+06 	1.997E+06 	2.010E+06 	
2.018E+06 	2.024E+06 	2.008E+06 	2.005E+06 	2.023E+06 	2.006E+06 	2.014E+06 	2.025E+06 	2.019E+06 	2.010E+06 	2.000E+06 	1.996E+06 	2.011E+06 	
2.022E+06 	2.032E+06 	2.012E+06 	2.000E+06 	2.014E+06 	1.997E+06 	2.006E+06 	2.022E+06 	2.017E+06 	2.006E+06 	2.004E+06 	1.997E+06 	2.000E+06 	
2.023E+06 	2.050E+06 	2.026E+06 	2.008E+06 	2.021E+06 	1.993E+06 	1.996E+06 	2.014E+06 	2.019E+06 	1.998E+06 	2.007E+06 	1.991E+06 	2.003E+06 	
2.017E+06 	2.055E+06 	2.033E+06 	2.011E+06 	2.026E+06 	2.012E+06 	1.998E+06 	1.999E+06 	2.003E+06 	1.982E+06 	1.995E+06 	1.984E+06 	1.993E+06 	
2.010E+06 	2.055E+06 	2.039E+06 	2.022E+06 	2.031E+06 	2.017E+06 	2.005E+06 	2.001E+06 	1.988E+06 	1.971E+06 	1.980E+06 	1.965E+06 	1.970E+06 	
2.008E+06 	2.055E+06 	2.035E+06 	2.028E+06 	2.032E+06 	2.020E+06 	2.023E+06 	2.008E+06 	2.007E+06 	1.981E+06 	1.969E+06 	1.956E+06 	1.970E+06 	
2.017E+06 	2.050E+06 	2.035E+06 	2.029E+06 	2.031E+06 	2.020E+06 	2.021E+06 	2.007E+06 	2.004E+06 	1.984E+06 	1.981E+06 	1.972E+06 	1.987E+06 	
2.019E+06 	2.054E+06 	2.033E+06 	2.024E+06 	2.028E+06 	2.021E+06 	2.018E+06 	2.002E+06 	1.998E+06 	1.985E+06 	1.992E+06 	1.994E+06 	2.001E+06 	
2.019E+06 	2.041E+06 	2.027E+06 	2.024E+06 	2.017E+06 	2.014E+06 	2.020E+06 	1.998E+06 	1.993E+06 	1.988E+06 	2.003E+06 	1.991E+06 	1.989E+06 	
2.019E+06 	2.032E+06 	2.017E+06 	2.022E+06 	2.005E+06 	2.010E+06 	2.012E+06 	1.992E+06 	1.999E+06 	1.997E+06 	2.007E+06 	1.993E+06 	1.999E+06 	
