Photolum;f  ESR(Ghz);Amplitude - ESR
5.65M;;
5.62M;;
5.66M;;
5.62M;;
5.64M;;
5.63M;;
5.64M;;
5.64M;;
5.67M;;
5.61M;;
5.67M;;
5.67M;;
5.63M;;
5.66M;;
5.62M;;
5.64M;;
5.65M;;
5.6M;;
5.64M;;
5.65M;;
5.64M;;
5.62M;;
5.61M;;
5.62M;;
5.66M;;
5.66M;;
5.62M;;
5.63M;;
5.63M;;
5.63M;;
5.65M;;
5.67M;;
5.61M;;
5.64M;;
5.66M;;
5.62M;;
5.61M;;
5.64M;;
5.66M;;
5.62M;;
5.63M;;
5.63M;;
5.62M;;
5.66M;;
5.6M;;
5.63M;;
5.65M;;
5.61M;;
5.66M;;
5.64M;;
5.62M;;
5.62M;;
5.66M;;
5.64M;;
5.62M;;
5.6M;;
5.64M;;
5.62M;;
5.63M;;
5.66M;;
5.64M;;
5.62M;;
5.64M;;
5.65M;;
5.62M;;
5.63M;;
5.64M;;
5.63M;;
5.67M;;
5.63M;;
5.63M;;
5.65M;;
5.64M;;
5.63M;;
5.59M;;
5.65M;;
5.65M;;
5.65M;;
5.66M;;
5.61M;;
5.63M;;
5.66M;;
5.63M;;
5.63M;;
5.67M;;
5.62M;;
5.65M;;
5.65M;;
5.62M;;
5.65M;;
5.63M;;
5.64M;;
5.66M;;
5.6M;;
5.64M;;
5.6M;;
5.63M;;
5.61M;;
5.64M;;
5.63M;;
5.63M;;
5.61M;;
5.62M;;
5.68M;;
5.63M;;
5.62M;;
5.62M;;
5.61M;;
5.64M;;
5.61M;;
5.65M;;
5.64M;;
5.66M;;
5.64M;;
5.61M;;
5.62M;;
5.65M;;
5.67M;;
5.62M;;
5.62M;;
5.64M;;
5.64M;;
5.61M;;
5.62M;;
5.65M;;
5.63M;;
5.63M;;
5.6M;;
5.66M;;
5.64M;;
5.62M;;
5.66M;;
5.6M;;
5.66M;;
5.62M;;
5.62M;;
5.66M;;
5.66M;;
5.64M;;
5.64M;;
5.61M;;
5.66M;;
5.65M;;
5.63M;;
5.61M;;
5.63M;;
5.64M;;
5.63M;;
5.64M;;
5.62M;;
5.68M;;
5.62M;;
5.65M;;
5.64M;;
5.66M;;
5.63M;;
5.66M;;
5.64M;;
5.64M;;
5.66M;;
5.64M;;
5.6M;;
5.67M;;
5.63M;;
5.67M;;
5.64M;;
5.62M;;
5.61M;;
5.62M;;
5.66M;;
5.65M;;
5.64M;;
5.64M;;
5.61M;;
5.61M;;
5.64M;;
5.65M;;
5.65M;;
5.64M;;
5.62M;;
5.66M;;
5.66M;;
5.63M;;
5.62M;;
5.6M;;
5.61M;;
5.64M;;
5.63M;;
5.62M;;
5.66M;;
5.64M;;
5.61M;;
5.67M;;
5.63M;;
5.66M;;
5.63M;;
5.67M;;
5.66M;;
5.64M;;
5.63M;;
5.63M;;
5.62M;;
5.65M;;
5.66M;;
5.62M;;
5.63M;;
5.63M;;
5.62M;;
5.64M;;
5.65M;;
5.62M;;
5.63M;;
5.65M;;
5.65M;;
5.63M;;
5.63M;;
5.62M;;
5.66M;;
5.61M;;
5.61M;;
5.63M;;
5.64M;;
5.65M;;
5.64M;;
5.65M;;
5.62M;;
5.65M;;
5.63M;;
5.6M;;
5.64M;;
5.64M;;
5.66M;;
5.65M;;
5.64M;;
5.66M;;
5.63M;;
5.61M;;
5.64M;;
5.6M;;
5.65M;;
5.65M;;
5.66M;;
5.64M;;
5.64M;;
5.63M;;
5.62M;;
5.64M;;
5.63M;;
5.64M;;
5.63M;;
5.66M;;
5.66M;;
5.63M;;
5.63M;;
5.64M;;
5.62M;;
5.62M;;
5.66M;;
5.62M;;
5.65M;;
5.63M;;
5.62M;;
5.61M;;
5.61M;;
5.61M;;
5.64M;;
5.65M;;
5.66M;;
5.64M;;
5.62M;;
5.64M;;
5.66M;;
5.65M;;
5.65M;;
5.62M;;
5.63M;;
5.63M;;
5.62M;;
5.62M;;
5.65M;;
5.58M;;
5.61M;;
5.63M;;
5.61M;;
5.61M;;
5.63M;;
5.66M;;
5.59M;;
5.64M;;
5.64M;;
5.64M;;
5.63M;;
5.63M;;
5.65M;;
5.64M;;
5.66M;;
5.63M;;
5.61M;;
5.64M;;
5.64M;;
5.67M;;
5.65M;;
5.63M;;
5.6M;;
5.6M;;
5.63M;;
5.65M;;
5.65M;;
5.63M;;
5.64M;;
5.63M;;
5.63M;;
5.65M;;
5.65M;;
5.63M;;
5.62M;;
5.61M;;
5.6M;;
5.62M;;
5.62M;;
5.61M;;
5.65M;;
5.68M;;
5.66M;;
5.62M;;
5.62M;;
5.65M;;
5.61M;;
5.67M;;
5.65M;;
5.59M;;
5.63M;;
5.64M;;
5.65M;;
5.6M;;
5.65M;;
5.63M;;
5.65M;;
5.63M;;
5.63M;;
5.63M;;
5.64M;;
5.66M;;
5.66M;;
5.62M;;
5.63M;;
5.66M;;
5.65M;;
5.64M;;
5.65M;;
5.61M;;
5.62M;;
5.65M;;
5.61M;;
5.62M;;
